,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Traj_type
37,3.437391983,3.832882756,4.824267214,4.56358924,5.251338068,5.718762085,6.076890107,5.26269566,4.728942558,4.592920712,6.350147622,7.82683645,8.471288462,7.808005301,7.424458008,7.257557765,2.908413975,0.039325305,-3.171722842,-2.018199899,-1.114358314,-1.486746319,-1.624194064,-1.526879651,-2.011722292,-0.978681949,-0.887371911,-3.461594119,-5.608672214,-4.565210541,-5.515470513,Congressing
38,0.711543166,1.107033939,-0.787169957,0.157416881,0.989962384,1.622554936,1.087910886,3.035424002,5.075556312,4.380767315,4.708621865,5.198230829,5.623974146,6.141711848,6.577036517,7.601491785,6.915718045,8.070876837,9.134287958,10.67803313,12.78629961,14.02249535,14.5070924,13.6577979,10.9550797,4.296739729,2.200977661,3.9152601,4.134702681,0.991923336,2.173650698,Retracing
39,3.742803678,2.275640885,2.708516395,4.011880681,3.393607617,4.027990344,2.880518357,2.8323118,2.352516636,3.040340847,2.863273083,4.710991405,1.784239338,3.342580193,3.880126366,3.647891001,1.932846572,-0.367086658,-1.333205398,-1.317168032,2.289544221,4.186946746,4.228402048,3.125567159,2.31882394,2.453744935,1.766123862,1.375810608,1.403329409,1.339673651,1.938882819,Quasi-static
40,4.012335621,4.631411772,5.055532468,4.780400876,3.960880111,3.854080174,3.175877877,2.990717657,3.439121364,3.035425853,1.816451651,1.134423837,-0.401943513,-0.728242903,-0.763943061,-1.317537414,-0.906262258,-1.027456079,-0.98338714,-0.117313254,0.267624299,-0.653536468,-1.216860864,-0.454054439,-1.510617706,-1.65802617,-1.009138093,-2.211996013,0.237111788,1.923158935,1.926353342,Congressing
41,4.538903597,5.694984817,5.832570659,6.822874412,6.796839705,6.366768856,5.737324163,5.954917746,6.330520756,6.946067007,7.734851044,8.426993477,7.675695853,7.386803941,7.327060691,8.500029075,7.599386409,7.514928647,6.335376786,6.109408214,7.665199695,9.777310568,11.2143908,12.36712763,11.44828391,8.367661505,6.380281837,4.066677718,2.879651172,3.768613548,4.533897308,Retracing
42,1.705479995,2.219426457,2.435823769,2.464059697,1.882316181,2.159566307,2.067126684,1.686134193,2.128527127,2.408109499,2.788128961,3.510325259,1.839706641,1.514078672,1.478378513,1.479821549,2.183511899,2.062318078,3.369416802,3.742034303,3.717535861,1.908848606,3.07809772,5.135461069,7.089599624,4.440305116,3.997150734,2.257287743,2.583089777,2.067026189,2.149032065,Retracing
43,3.088163149,2.455461746,2.965089149,3.721786013,4.351615713,4.580645371,4.288363511,4.229735708,4.226161215,3.269311732,1.325170093,1.02977069,1.187560727,0.469903842,0.81177488,-0.196216951,-0.966697225,-1.626967917,-0.908276082,-2.21383983,-2.366339486,-3.720768072,-2.437429734,-0.489433578,0.235442443,-1.954189018,-3.347134129,-3.047970442,-1.233366676,-0.289834773,-0.146084946,Congressing
44,8.591904873,8.225033078,8.631134499,8.276283312,9.200933766,9.002495109,9.680697406,9.438389311,8.40422293,8.490658301,9.441129968,9.603252745,8.870041515,8.793587102,8.596588498,7.929899898,7.196155682,6.921277894,7.035503315,5.492162318,6.902852553,9.009033488,10.18884584,8.175833034,4.373703873,1.415848355,-1.570079647,-0.23538252,-0.843175407,-1.559416318,-1.300118963,Retracing
45,2.922241556,3.616686934,4.05284222,3.632133396,4.03019662,4.521046619,3.338434912,3.669867945,4.825797254,5.089230725,4.929627613,4.701689555,5.200782823,5.056065213,3.701166513,4.919074144,5.478413578,4.476839656,3.548451642,2.584862547,1.883205841,0.852048167,0.36166987,-0.328335859,-0.964004831,-0.473689429,-0.695780612,-1.95820311,-1.819409471,-2.224401016,-1.677897387,Congressing
46,7.845162158,8.259083456,7.933149388,7.641482912,7.49051952,6.816526364,8.153292032,7.404704153,6.803345439,5.693540949,4.636254377,4.029605608,4.211438737,3.780988127,3.657722505,1.98448511,1.805778283,-0.007183585,-1.73506843,1.218672323,0.247711229,-0.374010449,1.12974424,1.038194152,-0.038698821,1.359046462,0.092607705,-1.065617391,-0.617438958,-1.411689486,-1.17042445,Congressing
